date,open,high,low,close,volume,average,barCount
2022-12-08 21:14:00,146.35,146.36,146.27,146.29,938.63,146.301,503
2022-12-08 21:14:30,146.28,146.45,146.27,146.43,1529.45,146.347,869
2022-12-08 21:15:00,146.43,146.45,146.24,146.31,1688.93,146.338,971
2022-12-08 21:15:30,146.32,146.32,146.06,146.08,1934.33,146.162,1144
2022-12-08 21:16:00,146.09,146.25,146.06,146.13,2054.55,146.14,902
2022-12-08 21:16:30,146.14,146.41,146.08,146.33,1883.9,146.198,990
2022-12-08 21:17:00,146.33,146.44,146.23,146.36,1328.91,146.346,676
2022-12-08 21:17:30,146.36,146.5,146.24,146.46,2292.25,146.334,1403
2022-12-08 21:18:00,146.46,146.52,146.25,146.31,1428.13,146.398,681
2022-12-08 21:18:30,146.31,146.56,146.3,146.53,956.92,146.425,578
2022-12-08 21:19:00,146.53,146.77,146.52,146.61,1815.81,146.668,1101
2022-12-08 21:19:30,146.61,146.68,146.47,146.5,1285.35,146.582,671
2022-12-08 21:20:00,146.5,146.55,146.38,146.39,1180.81,146.46,636
2022-12-08 21:20:30,146.39,146.4,146.28,146.34,1093.32,146.343,698
2022-12-08 21:21:00,146.34,146.61,146.25,146.59,2406.53,146.422,1335
2022-12-08 21:21:30,146.59,146.61,146.46,146.5,1224.89,146.55,645
2022-12-08 21:22:00,146.51,146.58,146.43,146.43,1054.22,146.506,541
2022-12-08 21:22:30,146.44,146.45,146.23,146.34,1816.85,146.33,1087
2022-12-08 21:23:00,146.34,146.34,146.2,146.28,1481.5,146.264,734
2022-12-08 21:23:30,146.26,146.37,146.14,146.32,1801.73,146.248,1106
2022-12-08 21:24:00,146.31,146.34,146.17,146.17,993.91,146.236,456
2022-12-08 21:24:30,146.18,146.3,146.13,146.23,1508.01,146.19,794
2022-12-08 21:25:00,146.22,146.45,146.22,146.25,1355.53,146.328,791
2022-12-08 21:25:30,146.25,146.28,146.17,146.24,1211.73,146.22,663
2022-12-08 21:26:00,146.24,146.48,146.21,146.46,1292.55,146.355,770
